상호명,상권업종대분류명,상권업종중분류명,상권업종소분류명,표준산업분류명,시도명,시군구명,행정동명,법정동명,도로명,도로명주소,경도,위도,이동시간_분_차,이동시간_분_보행
힐헤어끌림,수리·개인,이용·미용,미용실,두발 미용업,대전광역시,중구,중촌동,중촌동,대전광역시 중구 동서대로1421번길,대전광역시 중구 동서대로1421번길 43,127.411958215481,36.3364542576994,2.0,22
정성약국,소매,의약·화장품 소매,약국,의약품 및 의료용품 소매업,대전광역시,중구,유천2동,유천동,대전광역시 중구 계백로,대전광역시 중구 계백로 1600,127.39788474046,36.318223937885,4.0,35
다솜,수리·개인,기타 개인,결혼 상담 서비스업,결혼 상담 및 준비 서비스업,대전광역시,중구,오류동,오류동,대전광역시 중구 계백로,대전광역시 중구 계백로 1719,127.410472629671,36.322207135762,2.0,20
마테호른,음식,주점,요리 주점,기타 주점업,대전광역시,중구,태평1동,태평동,대전광역시 중구 수침로,대전광역시 중구 수침로 97,127.398978628209,36.3280531085001,4.0,37
대천수산,음식,한식,횟집,한식 일반 음식점업,대전광역시,중구,부사동,부사동,대전광역시 중구 대종로334번길,대전광역시 중구 대종로334번길 29,127.435085032335,36.3161704035159,2.0,19
카페한가로와대전,음식,비알코올 ,카페,커피 전문점,대전광역시,중구,대흥동,대흥동,대전광역시 중구 보문로254번길,대전광역시 중구 보문로254번길 36,127.424133464416,36.3258607203915,0.0,5
샤론미용실,수리·개인,이용·미용,미용실,두발 미용업,대전광역시,중구,태평1동,태평동,대전광역시 중구 유천로132번길,대전광역시 중구 유천로132번길 31-17,127.39680569282,36.3252933408598,4.0,38
꽃돼지전국꽃배달,소매,식물 소매,꽃집,화초 및 식물 소매업,대전광역시,중구,용두동,용두동,대전광역시 중구 용두로28번길,대전광역시 중구 용두로28번길 32,127.410240863643,36.327838830216,2.0,23
헌터피씨대전,예술·스포츠,유원지·오락,PC방,컴퓨터 게임방 운영업,대전광역시,중구,문화1동,문화동,대전광역시 중구 서문로,대전광역시 중구 서문로 128,127.406360334652,36.3196182092665,3.0,27
알뜰상회,소매,섬유·의복·신발 소매,기타 의류 소매업,셔츠 및 블라우스 소매업,대전광역시,중구,유천1동,유천동,대전광역시 중구 문화로105번길,대전광역시 중구 문화로105번길 103,127.395646624112,36.3167345867431,5.0,39
한지갤러리앤카페,음식,비알코올 ,카페,커피 전문점,대전광역시,중구,은행선화동,선화동,대전광역시 중구 대전천서로,대전광역시 중구 대전천서로 529,127.4228038466,36.3339836176008,1.0,10
클린지아,시설관리·임대,청소·방제,건축물 일반 청소업,건축물 일반 청소업,대전광역시,중구,은행선화동,선화동,대전광역시 중구 보문로335번길,대전광역시 중구 보문로335번길 14-11,127.417372863914,36.3318393222498,1.0,13
카페모두,음식,비알코올 ,카페,커피 전문점,대전광역시,중구,태평2동,태평동,대전광역시 중구 태평로,대전광역시 중구 태평로 143,127.396228403175,36.3293821149206,5.0,41
부산꼼장어,음식,한식,횟집,한식 해산물 요리 전문점,대전광역시,중구,석교동,옥계동,대전광역시 중구 대종로,대전광역시 중구 대종로 58,127.455264097923,36.2985813585143,6.0,49
대성인테리어,과학·기술,전문 디자인,인테리어 디자인업,도배; 실내 장식 및 내장 목공사업,대전광역시,중구,산성동,산성동,대전광역시 중구 유등천동로204번길,대전광역시 중구 유등천동로204번길 15,127.384065503554,36.302471698784,6.0,53
24K구제,소매,중고 상품 소매,중고 상품 소매업,기타 중고 상품 소매업,대전광역시,중구,은행선화동,은행동,대전광역시 중구 중앙로170번길,대전광역시 중구 중앙로170번길 11,127.428798439374,36.3291546572897,0.0,3
보리,소매,섬유·의복·신발 소매,기타 의류 소매업,셔츠 및 블라우스 소매업,대전광역시,중구,은행선화동,선화동,대전광역시 중구 중앙로,대전광역시 중구 중앙로 145,127.424883932736,36.3283157455132,0.0,3
옹달샘코다리찜,음식,한식,해산물 구이/찜,한식 일반 음식점업,대전광역시,중구,유천1동,유천동,대전광역시 중구 계백로,대전광역시 중구 계백로 1566,127.394327690112,36.3173587898041,4.0,39
한양의료기흙돌침대,소매,가구 소매,가구 소매업,가구 소매업,대전광역시,중구,용두동,용두동,대전광역시 중구 계룡로,대전광역시 중구 계룡로 871,127.41130730566,36.323770419296,2.0,20
나성이엔지,시설관리·임대,시설관리,사업시설 유지·관리 서비스업,사업시설 유지ㆍ관리 서비스업,대전광역시,중구,대흥동,대흥동,대전광역시 중구 대흥로,대전광역시 중구 대흥로 161,127.429719546842,36.3250313091662,0.0,5
세웅이네가족식당,음식,한식,백반/한정식,한식 일반 음식점업,대전광역시,중구,중촌동,중촌동,대전광역시 중구 목중로10번길,대전광역시 중구 목중로10번길 9-9,127.412608939741,36.3358355932965,2.0,21
필,음식,주점,일반 유흥 주점,일반 유흥 주점업,대전광역시,중구,대흥동,대흥동,대전광역시 중구 대종로460번길,대전광역시 중구 대종로460번길 28,127.429042696776,36.3262087219666,0.0,3
명동공인중개사사무소,부동산,부동산 서비스,부동산 중개/대리업,부동산 중개 및 대리업,대전광역시,중구,유천2동,유천동,대전광역시 중구 유천로,대전광역시 중구 유천로 14-1,127.399230768736,36.314066912691,5.0,38
포일,음식,비알코올 ,카페,커피 전문점,대전광역시,중구,은행선화동,선화동,대전광역시 중구 대종로517번길,대전광역시 중구 대종로517번길 36,127.422438512678,36.329151133324,0.0,6
더꾸닭꾸,음식,기타 간이,치킨,치킨 전문점,대전광역시,중구,태평1동,태평동,대전광역시 중구 수침로55번길,대전광역시 중구 수침로55번길 16,127.399826658572,36.3249480456659,4.0,35
띠울아쿠아3층매점,소매,종합 소매,슈퍼마켓,기타 음ㆍ식료품 위주 종합 소매업,대전광역시,중구,대사동,대사동,대전광역시 중구 보문산공원로,대전광역시 중구 보문산공원로 551,127.425548551425,36.3166747249668,2.0,19
대원이앤비,과학·기술,인쇄·제품제작,명함/간판/광고물 제작,간판 및 광고물 제조업,대전광역시,중구,태평1동,태평동,대전광역시 중구 태평로,대전광역시 중구 태평로 144,127.39667593213,36.3291230113725,5.0,40
지엠쑥쑥카페,음식,비알코올 ,카페,커피 전문점,대전광역시,중구,태평1동,태평동,대전광역시 중구 동서대로,대전광역시 중구 동서대로 1218,127.395278076636,36.3255199482897,5.0,40
풍기인견나라,소매,섬유·의복·신발 소매,여성 의류 소매업,여자용 겉옷 소매업,대전광역시,중구,문창동,문창동,대전광역시 중구 문창로6번길,대전광역시 중구 문창로6번길 29,127.437699800288,36.3149389966004,2.0,22
대광공조시스템,소매,가전·통신 소매,가전제품 소매업,가전제품 소매업,대전광역시,중구,태평1동,태평동,대전광역시 중구 수침로,대전광역시 중구 수침로 75,127.399750297445,36.3261913919731,4.0,35
선화동한가네닭발,음식,주점,요리 주점,기타 주점업,대전광역시,중구,오류동,오류동,대전광역시 중구 계백로1685번길,대전광역시 중구 계백로1685번길 10,127.406803477497,36.3213958805125,3.0,25
송가네뒷고기삼겹살,음식,한식,돼지고기 구이/찜,기타 주점업,대전광역시,중구,은행선화동,선화동,대전광역시 중구 대종로529번길,대전광역시 중구 대종로529번길 6,127.422884332292,36.3306223305346,0.0,7
슈맥마라탕,음식,중식,마라탕/훠궈,중식 음식점업,대전광역시,중구,목동,목동,대전광역시 중구 동서대로,대전광역시 중구 동서대로 1391,127.411426151657,36.3331440416511,2.0,21
청향일식,음식,일식,일식 회/초밥,일식 음식점업,대전광역시,중구,문화1동,문화동,대전광역시 중구 계룡로,대전광역시 중구 계룡로 923,127.41526077972,36.320833708588,2.0,17
도미라토탈뷰티,수리·개인,이용·미용,피부 관리실,피부 미용업,대전광역시,중구,목동,목동,대전광역시 중구 목동로,대전광역시 중구 목동로 25,127.408184464367,36.3331821098382,3.0,25
한양포차,음식,주점,일반 유흥 주점,한식 일반 음식점업,대전광역시,중구,은행선화동,은행동,대전광역시 중구 대전천서로,대전광역시 중구 대전천서로 467,127.42805609392,36.3301424871219,0.0,5
구피샵,수리·개인,이용·미용,미용실,두발 미용업,대전광역시,중구,용두동,용두동,대전광역시 중구 선화로22번길,대전광역시 중구 선화로22번길 12,127.412041778866,36.3253332039066,2.0,20
띠울하늘카페,음식,비알코올 ,카페,기타 비알코올 음료점업,대전광역시,중구,대사동,대사동,대전광역시 중구 보문산공원로,대전광역시 중구 보문산공원로 551,127.425548551425,36.3166747249668,2.0,19
에덴헤어,수리·개인,이용·미용,미용실,두발 미용업,대전광역시,중구,태평2동,태평동,대전광역시 중구 동서대로1194번길,대전광역시 중구 동서대로1194번길 9,127.392456842985,36.3259562689291,5.0,42
완도수산야채막회,음식,한식,횟집,한식 해산물 요리 전문점,대전광역시,중구,산성동,산성동,대전광역시 중구 보문산로,대전광역시 중구 보문산로 129,127.39453075695,36.3054992987981,6.0,52
